"Time","Bare Soil","Cardboard Mulch"
2023-07-02 04:14:55,14.2 %,8.70 %
2023-07-02 04:30:01,14.2 %,8.70 %
2023-07-02 04:45:07,14.2 %,8.80 %
2023-07-02 05:00:18,14.2 %,8.70 %
2023-07-02 05:15:24,14.2 %,8.80 %
2023-07-02 05:30:30,14.2 %,8.70 %
2023-07-02 05:45:35,14.2 %,8.80 %
2023-07-02 06:00:41,14.2 %,8.70 %
2023-07-02 06:15:52,14.2 %,8.70 %
2023-07-02 06:31:03,14.2 %,8.60 %
2023-07-02 06:46:11,14.2 %,8.90 %
2023-07-02 07:01:16,14.1 %,8.70 %
2023-07-02 07:16:22,14.2 %,8.70 %
2023-07-02 07:31:28,14.2 %,8.80 %
2023-07-02 07:46:39,14.2 %,8.70 %
2023-07-02 08:01:47,14.2 %,8.80 %
2023-07-02 08:16:54,14.2 %,8.70 %
2023-07-02 08:31:53,14.2 %,8.70 %
2023-07-02 08:46:53,14.2 %,8.80 %
2023-07-02 09:01:53,13.9 %,8.70 %
2023-07-02 09:17:05,13.9 %,10.6 %
2023-07-02 09:32:05,14.1 %,10.5 %
2023-07-02 11:39:57,13.5 %,10.5 %
2023-07-02 11:40:33,13.6 %,10.4 %
2023-07-02 11:55:40,13.6 %,10.4 %
2023-07-02 12:10:47,13.6 %,10.3 %
2023-07-02 12:25:53,13.6 %,10.4 %
2023-07-02 12:40:53,13.5 %,10.3 %
2023-07-02 12:56:03,13.3 %,10.3 %
2023-07-02 13:11:09,13.3 %,10.3 %
2023-07-02 13:26:08,13.2 %,10.2 %
2023-07-02 14:58:49,13 %,10.1 %
2023-07-02 14:59:21,13.1 %,10.2 %
2023-07-02 15:14:28,13 %,10.1 %
2023-07-02 15:29:35,13 %,10.1 %
2023-07-02 15:44:42,12.9 %,9.90 %
2023-07-02 15:59:53,12.9 %,9.90 %
2023-07-02 16:15:02,12.8 %,10 %
2023-07-02 16:30:09,12.8 %,9.80 %
2023-07-02 16:45:16,12.9 %,10.1 %
2023-07-02 17:00:23,12.7 %,9.90 %
2023-07-02 17:15:33,13 %,9.70 %
2023-07-02 17:30:46,12.8 %,9.80 %
2023-07-02 17:45:59,12.9 %,9.80 %
2023-07-02 18:01:09,12.9 %,9.80 %
2023-07-02 18:16:22,12.9 %,9.90 %
2023-07-02 18:31:32,12.9 %,9.80 %
2023-07-02 18:46:44,12.9 %,9.80 %
2023-07-02 19:01:51,12.9 %,9.80 %
2023-07-02 19:16:59,12.9 %,9.90 %
2023-07-02 19:32:04,13 %,9.90 %
2023-07-02 19:47:12,13.1 %,9.80 %
2023-07-02 20:02:22,12.9 %,9.80 %
2023-07-02 20:17:22,12.9 %,9.80 %
2023-07-02 20:32:23,12.9 %,9.90 %
2023-07-02 20:47:30,12.9 %,9.90 %
2023-07-02 21:02:35,13.1 %,9.90 %
2023-07-02 21:17:47,13.1 %,9.80 %
2023-07-02 21:32:52,13 %,9.80 %
2023-07-02 21:48:00,13 %,9.90 %
2023-07-02 22:03:07,13.1 %,9.90 %
2023-07-02 22:18:14,13.1 %,9.90 %
2023-07-02 22:33:25,13.1 %,10 %
2023-07-02 22:48:32,13.1 %,10 %
2023-07-02 23:03:31,12.9 %,9.90 %
2023-07-02 23:18:37,13 %,9.90 %
2023-07-02 23:33:37,13 %,10 %
2023-07-02 23:48:48,13.1 %,9.90 %
2023-07-03 00:03:56,13.1 %,10.1 %
2023-07-03 00:18:55,13.1 %,9.90 %
2023-07-03 00:34:03,13.1 %,10.1 %
2023-07-03 00:49:08,13.1 %,10 %
2023-07-03 01:04:09,13.1 %,10.1 %
2023-07-03 01:19:14,13.1 %,10 %
2023-07-03 01:34:19,13.1 %,9.90 %
2023-07-03 01:49:26,13.1 %,10.2 %
2023-07-03 02:04:26,13.2 %,10.1 %
2023-07-03 02:19:37,13.1 %,10 %
2023-07-03 02:34:46,13.1 %,10.1 %
2023-07-03 02:49:45,13.2 %,10.1 %
2023-07-03 03:04:51,13.1 %,10.1 %
2023-07-03 03:19:50,13 %,10 %
2023-07-03 03:34:57,13 %,10.1 %
2023-07-03 03:50:07,13.1 %,10.2 %
2023-07-03 04:05:13,13.1 %,10.1 %
2023-07-03 04:20:20,13.1 %,10.1 %
2023-07-03 04:35:26,13.2 %,10.1 %
2023-07-03 04:50:31,13.1 %,10.2 %
2023-07-03 05:05:41,13.2 %,10.1 %
2023-07-03 05:20:48,13.1 %,10.1 %
2023-07-03 05:35:54,13.1 %,10.2 %
2023-07-03 05:51:00,13.1 %,10.1 %
2023-07-03 06:06:09,13.1 %,10.1 %
2023-07-03 06:21:17,13.1 %,10.2 %
2023-07-03 06:36:23,13.1 %,10.1 %
2023-07-03 06:51:28,13.2 %,10.1 %
2023-07-03 07:06:34,13.1 %,10.1 %
2023-07-03 07:21:44,13.1 %,10.1 %
2023-07-03 07:36:45,13.1 %,10.1 %
2023-07-03 07:51:51,13.1 %,10 %
2023-07-03 08:06:58,13.1 %,10.1 %
2023-07-03 08:22:03,13.1 %,10.1 %
2023-07-03 08:37:14,13 %,9.90 %
2023-07-03 08:52:19,13.1 %,10 %
2023-07-03 09:07:26,13.2 %,10.1 %
2023-07-03 09:22:32,13.1 %,9.90 %
2023-07-03 09:37:37,13 %,10 %
2023-07-03 09:52:48,12.9 %,9.90 %
2023-07-03 10:07:53,13.1 %,9.90 %
2023-07-03 10:22:59,12.9 %,10 %
2023-07-03 10:38:06,12.9 %,9.80 %
2023-07-03 10:53:12,12.8 %,9.90 %
2023-07-03 11:08:21,12.8 %,9.90 %
2023-07-03 11:23:29,12.8 %,9.80 %
2023-07-03 11:38:35,12.7 %,9.80 %
2023-07-03 11:53:41,12.7 %,9.80 %
